u,v,key,osmid,highway,lanes,maxspeed,oneway,reversed,length,geometry,ref,tunnel,bridge,name,width,junction,access
366902,135706037,0,1368773152,residential,,50,True,False,11.182245946598416,"LINESTRING (11.9787978 57.6978113, 11.9786465 57.6977515)",,,,Geijersgatan,,,
366902,1913168771,0,"[1136293169, 1136293166, 231094767]",residential,"['1', '2']",50,True,False,127.1833741179309,"LINESTRING (11.9787978 57.6978113, 11.9786725 57.697886, 11.9785436 57.6979659, 11.9777639 57.6985051, 11.9776381 57.6985737, 11.9775918 57.698607, 11.9775847 57.6986121, 11.9775339 57.6986486, 11.9774708 57.6987067)",,,,Kungsportsavenyen,,,
371331,36655002,0,5555719,residential,,50,False,True,65.3012924989145,"LINESTRING (11.9273385 57.6970559, 11.9273523 57.6970425, 11.9277332 57.6966559, 11.9278696 57.6965422)",,,,Styrmansgatan,,,
371331,371332,0,5556362,residential,,50,True,False,169.90356054968132,"LINESTRING (11.9273385 57.6970559, 11.9260603 57.6966779, 11.92589366475027 57.696627106894006)",,,,Karl Johansgatan,,,
371331,36655003,0,"[1081874387, 1081874388, 1131150822]",residential,,50,False,False,59.978752838790946,"LINESTRING (11.9273385 57.6970559, 11.9273212 57.6970726, 11.9272725 57.6971166, 11.9271606 57.6972278, 11.9270234 57.6973603, 11.926891 57.6974882, 11.9268497 57.6975278)",,,,Styrmansgatan,,,
377704,29952053,0,669097644,residential,,50,False,True,38.02461508318732,"LINESTRING (11.9721143 57.7064315, 11.9718775 57.7061138)",,,,Östra Larmgatan,5.5,,
377704,25599403,0,"[29108004, 1157396158]",unclassified,,,False,False,131.22335005629526,"LINESTRING (11.9721143 57.7064315, 11.9721717 57.7064409, 11.973793 57.7066752, 11.9742445 57.7067436)",,,,Drottninggatan,,,
377704,320186566,0,29108004,unclassified,,,False,True,41.57236598374894,"LINESTRING (11.9721143 57.7064315, 11.9719091 57.7063955, 11.9714439 57.7063245)",,,,Drottninggatan,,,
377705,30014468,0,4773416,residential,,50,True,False,47.17439479203871,"LINESTRING (11.9713523 57.7053919, 11.9716377 57.7057878)",,,,Östra Larmgatan,5.5,,
377705,7373675,0,4265184,unclassified,,,True,False,66.00073627276986,"LINESTRING (11.9713523 57.7053919, 11.9714083 57.7053788, 11.9723826 57.7051699)",,,,Lilla Kungsgatan,,,
377705,377706,0,"[1361509757, 175304439]",living_street,,,False,True,60.142596302864604,"LINESTRING (11.9713523 57.7053919, 11.9713177 57.7053447, 11.9712085 57.7052049, 11.97118 57.7051746, 11.970909 57.7049064)",,,,Östra Larmgatan,,,
377706,25599361,0,4265182,living_street,,,False,False,87.36431803849902,"LINESTRING (11.970909 57.7049064, 11.9710227 57.7048377, 11.9719979 57.7043793)",,,,Trädgårdsgatan,8.2,,
377706,25581718,0,16121511,living_street,,,False,True,62.98368701913859,"LINESTRING (11.970909 57.7049064, 11.9708611 57.7048816, 11.9701074 57.7045358)",,,,Östra Larmgatan,,,
