element,id,geometry,railway,name,network,network:wikidata,operator,operator:wikidata,public_transport,ref,tram,wikidata,bus,highway,network:wikipedia,wheelchair,alt_name,local_ref,bicycle,website,fixme,toilets:wheelchair,source,wheelchair:description,foot,electrified,frequency,gauge,oneway,tracks,voltage,horse,lanes,lit,motor_vehicle,parking:both,surface,layer,tunnel,psv,bridge,maxspeed,service,note,usage,designation,description,access,cycleway:both,sidewalk:left,sidewalk:right,taxi,smoothness,start_date,bridge:name,covered
node,30486750,POINT (11.935553 57.6910747),tram_stop,Majvallen,Västtrafik,Q928178,Göteborgs Spårvägar,Q10512910,stop_position,B,yes,Q107999383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,31098715,POINT (11.9512499 57.6968874),tram_stop,Prinsgatan,Västtrafik,Q928178,Göteborgs Spårvägar,Q10512910,stop_position,A,yes,Q107999403,yes,bus_stop,sv:Västtrafik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,33541076,POINT (11.9520488 57.6901338),tram_stop,Linnéplatsen,Västtrafik,Q928178,Göteborgs Spårvägar,Q10512910,stop_position,A,yes,Q107999378,yes,bus_stop,sv:Västtrafik,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,60142086,POINT (11.9526163 57.7002011),tram_stop,Järntorget,Västtrafik,Q928178,Göteborgs Spårvägar,Q10512910,stop_position,A,yes,Q17092837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,91380481,POINT (11.9751665 57.6808055),tram_stop,Doktor Sydows Gata,Västtrafik,Q928178,Göteborgs Spårvägar,Q10512910,stop_position,B,yes,Q107999036,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,91380509,POINT (11.9685893 57.6889831),tram_stop,Wavrinskys Plats,Västtrafik,Q928178,Göteborgs Spårvägar,Q10512910,stop_position,A,yes,Q107999424,yes,bus_stop,sv:Västtrafik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,94229491,POINT (11.9684149 57.6890277),tram_stop,Wavrinskys Plats,Västtrafik,Q928178,Göteborgs Spårvägar,Q10512910,stop_position,C,yes,Q107999424,yes,bus_stop,sv:Västtrafik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,94229503,POINT (11.9643706 57.6854325),tram_stop,Medicinaregatan,Västtrafik,Q928178,Göteborgs Spårvägar,Q10512910,stop_position,A,yes,Q107999387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,94229509,POINT (11.9610978 57.6836073),tram_stop,Sahlgrenska Huvudentré,Västtrafik,Q928178,Göteborgs Spårvägar,Q10512910,stop_position,A,yes,Q107999407,,,sv:Västtrafik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,247822616,POINT (11.9529638 57.6999802),tram_stop,Järntorget,Västtrafik,Q928178,Göteborgs Spårvägar,Q10512910,stop_position,D,yes,Q17092837,,,sv:Västtrafik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,283253430,POINT (11.9667699 57.7092219),tram_stop,Lilla Bommen,Västtrafik,Q928178,Göteborgs Spårvägar,Q10512910,stop_position,B,yes,Q107999377,yes,bus_stop,sv:Västtrafik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,283254029,POINT (11.9734989 57.7075529),tram_stop,Centralstationen,Västtrafik,Q928178,Göteborgs Spårvägar,Q10512910,stop_position,A,yes,Q107999033,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,283254362,POINT (11.9730868 57.7076464),tram_stop,Centralstationen,Västtrafik,Q928178,Göteborgs Spårvägar,Q10512910,stop_position,C,yes,Q107999033,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
