num_vehicles,num_constructions,seed,n_arrived,n_total,arrival_rate,mean_travel_time,median_travel_time,stdev_travel_time,mean_avg_speed,median_avg_speed,stdev_avg_speed
10,0,0,10,10,1.0,78.1,71.0,48.56255988127296,13.620918749756065,13.719021305583711,0.26337236984976253
10,0,1,10,10,1.0,91.0,90.5,57.3275190850297,13.70318923516585,13.772492518715964,0.17545643342712455
10,0,2,10,10,1.0,75.2,66.0,57.70191600901231,13.5717797171826,13.690423827087347,0.3104193596970256
10,5,0,10,10,1.0,82.4,71.0,48.0860340085005,13.643350835487304,13.712489687303316,0.24535141697029753
10,5,1,10,10,1.0,93.3,94.0,59.99268473924319,13.684403739259054,13.74153085915301,0.16103871013827947
10,5,2,10,10,1.0,76.3,67.0,58.94262747225758,13.586626596302215,13.709120605503099,0.30351484371687093
10,10,0,10,10,1.0,84.1,71.0,51.05868083772718,13.64829854985116,13.719021305611765,0.24727396866161955
10,10,1,10,10,1.0,93.5,94.0,60.11701552435513,13.694995672150235,13.765756266793126,0.16822949112714808
10,10,2,10,10,1.0,76.6,67.5,59.153660542316025,13.569001355165874,13.709120605502928,0.3075421793281444
10,20,0,10,10,1.0,83.5,71.0,50.79424726832317,13.650423825482877,13.741376083839853,0.24617106334535804
10,20,1,10,10,1.0,94.1,95.5,60.17465320954404,13.68817127094715,13.745193952463936,0.16556181807700987
10,20,2,10,10,1.0,78.9,67.0,61.68459198932006,13.601544942638519,13.731005052777,0.3130258691322382
10,50,0,10,10,1.0,89.4,83.0,53.90155635765797,13.654868865998866,13.705489027538754,0.25419081968767276
10,50,1,10,10,1.0,100.4,95.5,61.56153200028588,13.705881912368561,13.703200316689951,0.13551177841438297
10,50,2,10,10,1.0,84.5,75.5,65.45778962218493,13.580589445406234,13.673627065613868,0.3052709306409251
10,100,0,10,10,1.0,95.3,85.5,59.74771032339975,13.646804731823721,13.70383251516624,0.2476445979477437
10,100,1,10,10,1.0,100.5,99.5,65.4323229672376,13.706422930270769,13.786586077046895,0.1681047621089161
10,100,2,10,10,1.0,92.7,77.5,67.72829705685965,13.646278504042135,13.750342780916558,0.28529826869338815
10,200,0,10,10,1.0,99.3,102.0,58.70084231839343,13.665474804486058,13.749091109147603,0.2559432673735425
10,200,1,10,10,1.0,103.4,95.5,63.31087321042624,13.691470354971209,13.73813159291976,0.1551362759966207
10,200,2,10,10,1.0,96.6,77.0,69.28395677692396,13.620942465217592,13.737312819439035,0.2968513839665671
10,500,0,10,10,1.0,99.3,102.0,58.70084231839343,13.665474804486058,13.749091109147603,0.2559432673735425
10,500,1,10,10,1.0,103.4,95.5,63.31087321042624,13.691470354971209,13.73813159291976,0.1551362759966207
10,500,2,10,10,1.0,96.6,77.0,69.28395677692396,13.620942465217592,13.737312819439035,0.2968513839665671
50,0,0,50,50,1.0,97.58,99.0,46.95985693403789,13.612906449953003,13.711248212094072,0.23015638932576646
50,0,1,50,50,1.0,88.38,95.5,45.86888590185673,13.607872937288743,13.689301072009858,0.23576985394132682
50,0,2,50,50,1.0,75.38,80.5,41.922128976939895,13.584391545111727,13.709269506439615,0.3549807474258969
50,5,0,50,50,1.0,97.58,99.0,46.98635928845385,13.61395515963006,13.705753177136357,0.22557883338525087
50,5,1,50,50,1.0,88.74,95.5,46.104499758257695,13.611140788230458,13.687343448879204,0.2295657695428921
50,5,2,50,50,1.0,75.86,80.5,42.123729315298895,13.583181281201584,13.697674457553433,0.3407911136303789
